Artist Name,Genre
Burnout-13,j-pop
Gauchos Calientes,french jazz
Rod Stewart,soft rock
Alien Clouds,folk punk
Alien Clouds,pop worship
Spear of Destiny,post-punk
Au Pairs,post-punk
Au Pairs,new wave
Crippled Fox,hardcore punk
Crippled Fox,grindcore
T2,bassline
T2,uk garage
T2,uk funky
Demdike Stare,dub techno
Demdike Stare,idm
Demdike Stare,dark ambient
Demdike Stare,experimental
Demdike Stare,drone
Magnum,album rock
Magnum,arena rock
Magnum,hard rock
King Kurt,psychobilly
King Kurt,rockabilly
Daniel Wax Off,speed metal
Daniel Wax Off,thrash metal
Fatal Collision,speed metal
L1NKN P4RK,uk drill
L1NKN P4RK,drill
Amsterdam,nederpop
Amsterdam,glam rock
Amsterdam,thai hip hop
Gnidrolog,progressive rock
Gnidrolog,acid rock
Gnidrolog,symphonic rock
Shinies,shoegaze
Megadeth,thrash metal
Megadeth,metal
Megadeth,heavy metal
Megadeth,speed metal
Biffy Clyro,modern rock
Mark and the Clouds,power pop
Mark and the Clouds,baroque pop
Day of Phoenix,progressive rock
Day of Phoenix,acid rock
The Toy Dolls,punk
The Toy Dolls,ska punk
Patto,progressive rock
King For A Day,pinoy indie
"The Good, the Bad & the Queen",britpop
Architects,metalcore
Architects,djent
Architects,metal
Architects,post-hardcore
Architects,deathcore
IQ,dancehall
IQ,soca
IQ,afroswing
Haze,uk drill
Haze,drill
Haze,grime
Strength Approach,hardcore
Strength Approach,hardcore punk
Death Goals,screamo
These Animal Men,britpop
These Animal Men,madchester
Mint,gospel r&b
Thompson Twins,new wave
Thompson Twins,synthpop
Ghost Dance,east coast hip hop
Ghost Dance,hardcore hip hop
Ghost Dance,hip hop
Ryoji Ikeda,glitch
Ryoji Ikeda,idm
Ryoji Ikeda,experimental
Ryoji Ikeda,minimalism
Ryoji Ikeda,avant-garde
Ryoji Ikeda,drone
The Macc Lads,punk
Kartel,dancehall
Kartel,disco polo
Kartel,riddim
Big Country,new wave
Big Country,celtic rock
Random Hold,ska punk
Random Hold,ska
Random Hold,punk
Allan Holdsworth,jazz fusion
Allan Holdsworth,progressive rock
Ignacy Jan Paderewski,classical piano
Ignacy Jan Paderewski,classical
Simone Felice,indie folk
Simone Felice,americana
Junior Bill,soul
Junior Bill,motown
Europeans,power pop
Europeans,post-punk
The Atom Age,psychobilly
The Atom Age,garage rock
The Atom Age,proto-punk
Wreaking Joy,hardcore
The Murderburgers,melodic hardcore
The Murderburgers,punk
The Murderburgers,skate punk
The Murderburgers,pop punk
The Men That Will Not Be Blamed for Nothing,dark cabaret
The Men That Will Not Be Blamed for Nothing,folk punk
Catfish and the Bottlemen,indie
Catfish and the Bottlemen,modern rock
No Turning Back,hardcore
No Turning Back,hardcore punk
Gracious,progressive rock
Dionne Bromfield,neo soul
Dionne Bromfield,retro soul
Hawkwind,space rock
Hawkwind,progressive rock
Hawkwind,krautrock
Hawkwind,psychedelic rock
Hawkwind,proto-punk
Hawkwind,acid rock
Hawkwind,hard rock
Hawkwind,stoner rock
Hawkwind,art rock
Anti-System,hardcore punk
Anti-System,punk
Anti-System,grindcore
Lionel Richie,motown
Genesis,progressive rock
Genesis,symphonic rock
Genesis,art rock
Morgan,country
Dallas Love Field,shoegaze
The Comsat Angels,post-punk
The Comsat Angels,new wave
Maid of Ace,punk
Lee Gamble,idm
Lee Gamble,experimental
Modern English,new wave
Modern English,synthpop
The Angry Agenda,spoken word
The Angry Agenda,folk punk
A Flock of Seagulls,new wave
A Flock of Seagulls,synthpop
Mike Viola,power pop
Mike Viola,jangle pop
of Arrowe Hill,experimental
Ninebar,hardcore
Ninebar,hardcore punk
The Bluetones,britpop
The Bluetones,madchester
Code,slowcore
Code,shoegaze
Code,post-rock
Emma Rawicz,jazz
Field Lines Cartographer,drone
Field Lines Cartographer,ambient
Field Lines Cartographer,dark ambient
Julian Cope,jangle pop
Richard Morris,baroque pop
Kaiser Chiefs,britpop
Kaiser Chiefs,indie rock
Maxthor,synthwave
Maxthor,synthpop
Skrapz,grime
The Twilight Sad,shoegaze
The Twilight Sad,post-punk
Soledad Brothers,garage rock
Soledad Brothers,modern blues
Soledad Brothers,blues rock
Singcircle,avant-garde
Singcircle,neoclassical
Jamie Jones,tech house
Jamie Jones,house
Jamie Jones,deep house
Jools Holland,boogie-woogie
Jools Holland,big band
Jools Holland,swing music
bdrmm,shoegaze
bdrmm,dream pop
bdrmm,post-punk
Moya Brennan,celtic
Moya Brennan,new age
Maria Chávez,mariachi
Maria Chávez,música mexicana
Maria Chávez,polka
The Rezillos,punk
The Rezillos,proto-punk
The Rezillos,power pop
Mumford & Sons,folk
Mumford & Sons,indie folk
Mumford & Sons,folk rock
Incite,groove metal
Incite,thrash metal
Alison Moyet,synthpop
Vast Slug,grindcore
Paul Zerdin,german pop
Patrick McCallion's Small Words,folk
His Name Is Alive,dream pop
His Name Is Alive,shoegaze
His Name Is Alive,slowcore
Space,britpop
Space,madchester
Cary Grace,space rock
Cary Grace,progressive rock
Cary Grace,stoner rock
Jay Reatard,garage rock
Jay Reatard,noise rock
Pet Shop Boys,synthpop
Pet Shop Boys,new wave
The Steve Gibbons Band,blues rock
Lætitia Sadier,dream pop
Brand New,emo
Brand New,pop punk
Brand New,emo pop
Brand New,post-hardcore
Forever Autumn,neofolk
Forever Autumn,gothic metal
Forever Autumn,doom metal
Forever Autumn,folk metal
Cyclone,pinoy hip hop
Cyclone,pinoy r&b
Cyclone,opm
Cyclone,p-pop
Cyclone,budots
The Drifters,doo-wop
The Drifters,motown
Adam Kay,comedy
Negazione,hardcore punk
Negazione,punk
The Chemistry Set,soul jazz
The Chemistry Set,psychedelic rock
The Chemistry Set,acid rock
Mick O'Toole,folk punk
King Dinosaur,jazz fusion
Malevolence,metalcore
Malevolence,deathcore
Malevolence,hardcore
Malevolence,groove metal
Loreena McKennitt,celtic
Loreena McKennitt,new age
Loreena McKennitt,medieval
GBH,punk
GBH,hardcore punk
GBH,hardcore
GBH,skate punk
Joni Mitchell,singer-songwriter
Joni Mitchell,folk
Joni Mitchell,folk rock
Megalomatic,eurotrance
Megalomatic,trance
Megalomatic,hard house
Megalomatic,eurodance
Megalomatic,happy hardcore
deathcrash,slowcore
deathcrash,post-rock
The Warner E. Hodges Band,southern rock
Dana Immanuel,dark cabaret
Jason Mraz,soft pop
Jason Mraz,acoustic pop
Hands of Attrition,groove metal
Geno Washington,northern soul
Bethel Music,worship
Bethel Music,christian
Bethel Music,ccm
Caroline Polachek,art pop
Egypt,dancehall
Egypt,reggae
Egypt,soca
Egypt,lovers rock
Egypt,ragga
Amaryllis,laïko
The Beautiful South,britpop
FM,album rock
FM,arena rock
FM,hard rock
FM,glam metal
Gaskin,house
Moses Sumney,art pop
Agnetha Fältskog,swedish ballads
Magma,progressive rock
Magma,krautrock
Magma,art rock
Magma,avant-garde
Magma,jazz fusion
Unyielding Love,grindcore
Unyielding Love,black metal
The Sandkings,psytrance
Pensacola Mist,synthwave
The King Brothers,rockabilly
Fèis Rois,neoclassical
Princess Superstar,electroclash
The WAEVE,chamber pop
Ian Parker,blues rock
Ian Parker,blues
Ian Parker,modern blues
Dartz!,math rock
Dartz!,new rave
Converge,metalcore
Converge,hardcore
Converge,hardcore punk
Converge,grindcore
Converge,post-hardcore
Converge,sludge metal
Flamin’ Groovies,power pop
Flamin’ Groovies,proto-punk
Flamin’ Groovies,garage rock
Flamin’ Groovies,jangle pop
Juicy Lucy,blues rock
Amazing Blondel,folk rock
Amazing Blondel,folk
Amazing Blondel,progressive rock
Travis and Fripp,britpop
Colin Blunstone,baroque pop
Colin Blunstone,chamber pop
The Corn Dollies,jangle pop
Fish Slice,chinese rock
Fish Slice,taiwanese indie
Fish Slice,chinese indie
Santa Cruz,glam metal
Santa Cruz,finnish rock
Santa Cruz,glam rock
Santa Cruz,hard rock
The Sensational Alex Harvey Band,glam rock
The Sensational Alex Harvey Band,proto-punk
Slayer,thrash metal
Slayer,metal
Slayer,speed metal
Slayer,heavy metal
Slayer,groove metal
Slayer,death metal
Hannah Aldridge,americana
thisGIRL,post-hardcore
Animal Collective,psychedelic pop
Animal Collective,indie rock
Animal Collective,art pop
Jody Grind,acid rock
Jody Grind,progressive rock
Jody Grind,psychedelic rock
As Blood Runs Black,deathcore
As Blood Runs Black,metalcore
As Blood Runs Black,death metal
As Blood Runs Black,metal
Pink Floyd,progressive rock
Pink Floyd,psychedelic rock
Pink Floyd,classic rock
Pink Floyd,symphonic rock
Pink Floyd,art rock
Pink Floyd,rock
[unknown],uk drill
[unknown],drill
[unknown],grime
[unknown],afroswing
Evertim,pop punk
Boards of Canada,idm
Boards of Canada,ambient
Boards of Canada,trip hop
Boards of Canada,downtempo
Boards of Canada,electronic
The Koobas,acid rock
The Koobas,garage rock
The Koobas,psychedelic pop
The Koobas,psychedelic rock
Fleet,classic rock
Fleet,soft rock
Mr. Strange,dark cabaret
The Chefs,power pop
The Chefs,jangle pop
The Chefs,post-punk
IC1s,madchester
Samoans,math rock
Becky Sikasa,soul jazz
Hamerex,heavy metal
Ian Campbell,folk
Ian Campbell,celtic
Ian Campbell,sea shanties
The Woggles,children's music
The Woggles,lullaby
Savages,post-punk
Venom Prison,death metal
Venom Prison,deathcore
Death in Vegas,big beat
Death in Vegas,trip hop
Neil Innes,acid rock
Neil Innes,comedy
Six Organs of Admittance,neofolk
Six Organs of Admittance,indie folk
Tiësto,edm
Tiësto,trance
Tiësto,big room
Tiësto,house
Tiësto,dance
Psychic TV,industrial
Psychic TV,acid house
Psychic TV,neofolk
Psychic TV,post-punk
Psychic TV,avant-garde
Rab Noakes,baroque pop
The Wages of Sin,pirate metal
The Wages of Sin,celtic rock
The Wages of Sin,sea shanties
The Wages of Sin,celtic
The Wages of Sin,folk punk
Whispering Sons,cold wave
Whispering Sons,post-punk
Whispering Sons,darkwave
Whispering Sons,deathrock
Whispering Sons,new wave
Bury Your Dead,metalcore
Bury Your Dead,hardcore
Bury Your Dead,deathcore
Tess Parks,psychedelic rock
Tess Parks,space rock
Despite Everything,skate punk
The Black Delta Movement,space rock
The Black Delta Movement,psychedelic rock
Ricardo Viñes,blues
The Sidekicks,bluegrass
The Sidekicks,newgrass
Matt Bragg,comedy
Jason Donovan,musicals
Sovereign,worship
Sovereign,christian
The Strypes,garage rock
The Strypes,indie rock
The Strypes,alternative rock
:zoviet*france:,dark ambient
:zoviet*france:,space rock
:zoviet*france:,industrial
Bill Ryder-Jones,chamber pop
City Dog,classical
City Dog,orchestra
Winterfylleth,black metal
Winterfylleth,neofolk
Winterfylleth,folk metal
Shed Seven,britpop
Shed Seven,madchester
Kip Moore,country
Terraplane,arena rock
Terraplane,album rock
Strength Approach,hardcore
Strength Approach,hardcore punk
Valous,stoner rock
The Janitors,space rock
The Janitors,garage rock
The Janitors,psychedelic rock
The Janitors,stoner rock
The Janitors,jangle pop
North of Cornwallis,sea shanties
North of Cornwallis,folk
North of Cornwallis,celtic
Pendragon,progressive rock
Pendragon,symphonic rock
Marlene Ribeiro,experimental
The Men They Couldn’t Hang,folk punk
The Men They Couldn’t Hang,celtic rock
The Men They Couldn’t Hang,folk rock
Steamhammer,blues rock
Steamhammer,blues
The Men That Will Not Be Blamed for Nothing,dark cabaret
The Men That Will Not Be Blamed for Nothing,folk punk
Tides of Man,post-rock
Tides of Man,post-hardcore
Tides of Man,math rock
Massacre,dancehall
Massacre,soca
Massacre,riddim
H & Claire,r&b
Iron Chic,punk
Iron Chic,melodic hardcore
Iron Chic,skate punk
Boo Hewerdine,folk
Eliza Carthy,folk
Eliza Carthy,dark cabaret
Eliza Carthy,celtic
Kingfishr,folk pop
Lionel Richie,motown
The Valentine Brothers,post-disco
King Prawn,ska punk
King Prawn,ska
Icehouse,synthpop
3 Daft Monkeys,folk
3 Daft Monkeys,folk punk
Mazzy,dream pop
Mazzy,shoegaze
Mazzy,slowcore
Cynefin,celtic
Redeemon,ska punk
Redeemon,ska
Holly Henderson,baroque pop
black midi,noise rock
black midi,post-punk
black midi,math rock
black midi,art rock
Nick Heyward,power pop
Television Personalities,jangle pop
Television Personalities,post-punk
Olly Dobson,musicals
Doug MacLeod,blues
Doug MacLeod,modern blues
Phase,liquid funk
Phase,drum and bass
Phase,jungle
Will Varley,folk punk
The Humblebums,comedy
The Humblebums,baroque pop
"Does It Offend You, Yeah?",new rave
"Does It Offend You, Yeah?",electronic rock
"Does It Offend You, Yeah?",alternative dance
"Does It Offend You, Yeah?",electroclash
Bearded Youth Quest,math rock
Bearded Youth Quest,post-rock
HARMERGEDDON,krautrock
Superstring,trance
Superstring,hard house
The Railway Children,jangle pop
The Railway Children,new wave
The Railway Children,madchester
Heavy Jelly,neo soul
The Mob,deathrock
The Mob,post-punk
The Mob,punk
The Mob,hardcore punk
Graeme Park,acid house
Graeme Park,madchester
Graeme Park,chicago house
LTJ Bukem,jungle
LTJ Bukem,drum and bass
LTJ Bukem,liquid funk
LTJ Bukem,breakbeat
LTJ Bukem,downtempo
LTJ Bukem,breakcore
John Martyn,folk
John Martyn,folk rock
Judee Sill,singer-songwriter
Judee Sill,baroque pop
Judee Sill,folk
Mark Knopfler,soft rock
Harlem Spirit,drill
Harlem Spirit,uk drill
Harlem Spirit,grime
Kira Mac,modern blues
Kira Mac,blues rock
Blind Melon,grunge
Arena,progressive rock
Arena,symphonic rock
Arena,progressive metal
Arena,art rock
Kyla Brox,blues
Kyla Brox,modern blues
Beans on Toast,folk punk
Kris Barras Band,blues rock
Kris Barras Band,modern blues
Kris Barras Band,blues
Pickled Dick,ska punk
Dog Tired,groove metal
Andy Cairns,chicago house
Andy Cairns,dub techno
Bombshell Rocks,skate punk
Bombshell Rocks,punk
Bombshell Rocks,melodic hardcore
Bombshell Rocks,ska punk
Life On Standby,pop punk
Voodoo Vegas,album rock
Voodoo Vegas,arena rock
Parish,doom metal
Wristmeetrazor,screamo
Wristmeetrazor,metalcore
Wristmeetrazor,post-hardcore
Wristmeetrazor,emocore
L1NKN P4RK,uk drill
L1NKN P4RK,drill
Pere Ubu,post-punk
Pere Ubu,proto-punk
Pere Ubu,art rock
Pere Ubu,noise rock
Pere Ubu,new wave
Michael Ball,musicals
The Young’uns,folk
The Young’uns,sea shanties
14 Iced Bears,jangle pop
14 Iced Bears,shoegaze
14 Iced Bears,dream pop
14 Iced Bears,indie pop
Moses Boyd Exodus,nu jazz
Moses Boyd Exodus,jazz
All Forgotten,post-hardcore
OneRepublic,soft pop
Harmonia,krautrock
Harmonia,space rock
Harmonia,avant-garde
The Connectors,j-rock
The Connectors,shibuya-kei
Motu,uk funky
Mrs Frighthouse,sludge metal
Martha Wainwright,singer-songwriter
The Creatures,post-punk
